forretningsproces,kommunekode,registreringFra,virkningFra,status,byg007Bygningsnummer,byg021BygningensAnvendelse,byg026Opførelsesår,byg032YdervæggensMateriale,byg033Tagdækningsmateriale,byg037KildeTilBygningensMaterialer,byg038SamletBygningsareal,byg039BygningensSamledeBoligAreal,byg040BygningensSamledeErhvervsAreal,byg041BebyggetAreal,byg042ArealIndbyggetGarage,byg043ArealIndbyggetCarport,byg044ArealIndbyggetUdhus,byg045ArealIndbyggetUdestueEllerLign,byg046SamletArealAfLukkedeOverdækningerPåBygningen,byg047ArealAfAffaldsrumITerrænniveau,byg048AndetAreal,byg049ArealAfOverdækketAreal,byg050ArealÅbneOverdækningerPåBygningenSamlet,byg051Adgangsareal,byg053BygningsarealerKilde,byg054AntalEtager,byg056Varmeinstallation,byg057Opvarmningsmiddel,byg058SupplerendeVarme,byg069Sikringsrumpladser,byg133KildeTilKoordinatsæt,byg134KvalitetAfKoordinatsæt,byg135SupplerendeOplysningOmKoordinatsæt,byg136PlaceringPåSøterritorie,byg404Koordinat,byg406Koordinatsystem
25,101,2017-10-02T11:43:25.614209Z,2017-10-02T11:43:25.614209Z,6,1,120,1939,1,2,1,80,80,,80,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719246.96 6178532.1 0),5
25,101,2017-10-02T11:43:26.567367Z,2017-10-02T11:43:26.567367Z,6,1,120,1923,90,5,1,88,114,,88,,,,16,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719104.3 6178717.07 0),5
25,101,2017-10-02T11:43:27.94869Z,2017-10-02T11:43:27.94869Z,6,1,120,1935,1,5,1,105,81,,105,,,,24,,,,15,,,1,1,1,,90,,K,1,11,0,POINT Z(718947.74 6178884.27 0),5
25,101,2017-10-02T11:43:31.036231Z,2017-10-02T11:43:31.036231Z,6,1,120,1950,1,3,1,60,60,,60,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718917.61 6178431.24 0),5
25,101,2017-10-02T11:43:33.55192Z,2017-10-02T11:43:33.55192Z,6,1,120,1935,1,3,1,90,157,,90,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718886.58 6178139.19 0),5
25,101,2017-10-02T11:43:34.047298Z,2017-10-02T11:43:34.047298Z,6,1,120,1932,1,5,1,79,142,,79,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718864.25 6178316.91 0),5
25,101,2017-10-02T11:43:35.539971Z,2017-10-02T11:43:35.539971Z,6,1,120,1922,1,5,1,65,125,,65,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719117.86 6178763.86 0),5
25,101,2017-10-02T11:43:36.899481Z,2017-10-02T11:43:36.899481Z,6,1,120,1933,1,2,1,76,76,,76,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719326.42 6178219.1 0),5
25,101,2017-10-02T11:43:42.884067Z,2017-10-02T11:43:42.884067Z,6,1,120,1981,1,5,2,80,132,,80,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(718627.05 6178704.1 0),5
25,101,2017-10-02T11:43:43.895385Z,2017-10-02T11:43:43.895385Z,6,1,120,1927,1,5,1,64,112,,64,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718749.91 6178595.02 0),5
25,101,2017-10-02T11:43:44.926677Z,2017-10-02T11:43:44.926677Z,6,1,120,1928,1,5,1,113,153,,113,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719532.68 6178041.21 0),5
25,101,2017-10-02T11:43:45.411074Z,2017-10-02T11:43:45.411074Z,6,1,120,1925,90,5,2,77,126,,77,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(718998.33 6178631.47 0),5
25,101,2017-10-02T11:43:46.458652Z,2017-10-02T11:43:46.458652Z,6,1,120,1933,1,2,1,104,104,,104,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719302.69 6178637.46 0),5
25,101,2017-10-02T11:43:46.98395Z,2017-10-02T11:43:46.98395Z,6,1,120,1927,1,5,1,60,92,,60,,,,,,,,,,,1,1,1,,2,,K,1,11,0,POINT Z(719304.38 6178397.73 0),5
25,101,2017-10-02T11:43:47.426763Z,2017-10-02T11:43:47.426763Z,6,3,120,2016,1,4,1,200,200,,100,,,,,,,,,,,1,2,1,,90,,K,1,11,0,POINT Z(718899.83 6178867.29 0),5
25,101,2017-10-02T11:43:48.364291Z,2017-10-02T11:43:48.364291Z,6,1,120,1937,1,5,1,70,120,,70,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718868.99 6178250.31 0),5
25,101,2017-10-02T11:43:53.187232Z,2017-10-02T11:43:53.187232Z,6,1,120,1931,1,5,1,56,81,,56,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718597.36 6178934.65 0),5
25,101,2017-10-02T11:43:55.161416Z,2017-10-02T11:43:55.161416Z,6,1,120,1955,1,2,1,84,84,,84,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718547.03 6179081.07 0),5
25,101,2017-10-02T11:43:58.583462Z,2017-10-02T11:43:58.583462Z,6,1,120,1933,1,5,1,145,145,,90,,,,,,,,,,,1,2,1,,90,,K,1,11,0,POINT Z(719404.3 6177957.79 0),5
25,101,2017-10-02T11:44:00.474147Z,2017-10-02T11:44:00.474147Z,6,1,120,1963,1,2,1,89,89,,89,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718936.16 6178924.22 0),5
25,101,2017-10-02T11:44:02.42734Z,2017-10-02T11:44:02.42734Z,6,1,120,1969,1,5,1,112,112,,112,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718785.25 6178877.99 0),5
25,101,2017-10-02T11:44:02.946259Z,2017-10-02T11:44:02.946259Z,6,1,120,1954,1,5,1,105,145,,105,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718658.98 6178357.38 0),5
25,101,2017-10-02T11:44:04.464498Z,2017-10-02T11:44:04.464498Z,6,1,120,1911,1,5,1,184,184,,92,,,,,,,,,,,1,2,1,,90,,K,1,11,0,POINT Z(719065.26 6178091.79 0),5
25,101,2017-10-02T11:44:04.933267Z,2017-10-02T11:44:04.933267Z,6,1,120,1930,1,5,2,155,193,,155,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(718851.56 6178123.21 0),5
25,101,2017-10-02T11:44:06.792714Z,2017-10-02T11:44:06.792714Z,6,1,120,1944,1,5,1,61,110,,61,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718718.3 6178262.13 0),5
25,101,2017-10-02T11:44:09.698993Z,2017-10-02T11:44:09.698993Z,6,1,120,1932,1,3,1,83,83,,83,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718957.71 6178965.59 0),5
25,101,2017-10-02T11:44:11.243368Z,2017-10-02T11:44:11.243368Z,6,1,120,1935,1,5,1,70,120,,70,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718989.53 6178429.65 0),5
25,101,2017-10-02T11:44:22.493161Z,2017-10-02T11:44:22.493161Z,6,1,120,1935,90,2,1,134,134,,134,,,,0,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718546.88 6178884.28 0),5
25,101,2017-10-02T11:44:22.97756Z,2017-10-02T11:44:22.97756Z,6,1,120,1935,1,2,1,88,88,,88,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718633.74 6178837.24 0),5
25,101,2017-10-02T11:44:27.293712Z,2017-10-02T11:44:27.293712Z,6,1,120,1930,90,10,1,82,122,,82,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719041.58 6178440.45 0),5
25,101,2017-10-02T11:44:27.746548Z,2017-10-02T11:44:27.746548Z,6,1,120,1933,1,5,1,64,111,,64,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718661.94 6178695.95 0),5
25,101,2017-10-02T11:44:29.308419Z,2017-10-02T11:44:29.308419Z,6,1,120,1924,2,5,2,58,101,,58,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(718799.41 6178788.82 0),5
25,101,2017-10-02T11:44:31.159769Z,2017-10-02T11:44:31.159769Z,6,1,120,1928,1,2,1,91,105,,91,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719008.12 6178645.22 0),5
25,101,2017-10-02T11:44:31.808513Z,2017-10-02T11:44:31.808513Z,6,1,120,1930,1,5,2,64,104,,64,,,,,,,,,,,2,1,1,,,,K,1,11,0,POINT Z(719266.91 6178595.78 0),5
25,101,2017-10-02T11:44:33.401034Z,2017-10-02T11:44:33.401034Z,6,1,120,1937,1,2,1,119,119,,119,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718841.66 6178189.29 0),5
25,101,2017-10-02T11:44:34.916706Z,2017-10-02T11:44:34.916706Z,6,1,120,1969,2,1,1,104,104,,104,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718661.43 6178883.02 0),5
25,101,2017-10-02T11:44:38.151232Z,2017-10-02T11:44:38.151232Z,6,1,120,1934,1,5,1,86,151,,86,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719194.62 6178638.29 0),5
25,101,2017-10-02T11:44:38.626636Z,2017-10-02T11:44:38.626636Z,6,4,120,2010,1,5,2,165,165,,165,,,,,,,,,,,2,1,1,,5,,K,1,11,0,POINT Z(719534.92 6178467.77 0),5
25,101,2017-10-02T11:44:39.59541Z,2017-10-02T11:44:39.59541Z,6,1,120,1963,1,3,1,137,137,,137,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718813.76 6178371.97 0),5
25,101,2017-10-02T11:44:41.622529Z,2017-10-02T11:44:41.622529Z,6,1,120,1945,1,4,1,86,86,,86,,,,,,,,9,,,1,1,1,,90,,K,1,11,0,POINT Z(718647.19 6178426.16 0),5
25,101,2017-10-02T11:44:42.638194Z,2017-10-02T11:44:42.638194Z,6,1,120,1929,90,5,1,106,135,,106,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718773.78 6178619.5 0),5
25,101,2017-10-02T11:44:44.229458Z,2017-10-02T11:44:44.229458Z,6,1,120,1964,1,3,1,164,144,,164,,,,20,,,,,,,1,1,1,,2,,K,1,11,0,POINT Z(718658.47 6178395.93 0),5
25,101,2017-10-02T11:44:45.760746Z,2017-10-02T11:44:45.760746Z,6,1,120,1936,1,2,1,84,84,,84,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718913.53 6178916.96 0),5
25,101,2017-10-02T11:44:48.314255Z,2017-10-02T11:44:48.314255Z,6,1,120,1959,1,5,1,112,192,,112,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718772.61 6178269.78 0),5
25,101,2017-10-02T11:44:52.376889Z,2017-10-02T11:44:52.376889Z,6,1,120,1936,1,5,1,72,128,,72,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718816.7 6178740.46 0),5
25,101,2017-10-02T11:44:53.393624Z,2017-10-02T11:44:53.393624Z,6,1,120,1930,4,5,1,97,170,,97,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718954.92 6178443.71 0),5
25,101,2017-10-02T11:44:57.064544Z,2017-10-02T11:44:57.064544Z,6,1,120,1935,1,5,1,85,126,,85,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718836.55 6178910.87 0),5
25,101,2017-10-02T11:44:59.064618Z,2017-10-02T11:44:59.064618Z,6,1,120,1937,1,1,1,152,152,,152,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719008.93 6178081.61 0),5
25,101,2017-10-02T11:45:00.597023Z,2017-10-02T11:45:00.597023Z,6,1,120,1930,2,3,1,61,101,,61,,,,,,,,20,,,1,1,7,1,90,,K,1,11,0,POINT Z(718549.24 6179011.77 0),5
25,101,2017-10-02T11:45:02.662256Z,2017-10-02T11:45:02.662256Z,6,1,120,1935,1,5,1,68,129,,68,,,,,,,,,,,5,1,1,,90,,K,1,11,0,POINT Z(719480.01 6178146.06 0),5
25,101,2017-10-02T11:45:07.401188Z,2017-10-02T11:45:07.401188Z,6,1,120,1906,1,3,1,85,150,,85,,,,,,,,13,,,1,1,1,,90,,K,1,11,0,POINT Z(719309.5 6178460.26 0),5
25,101,2017-10-02T11:45:08.350311Z,2017-10-02T11:45:08.350311Z,6,1,120,1934,1,5,1,110,160,,110,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719453.57 6177964.73 0),5
25,101,2017-10-02T11:45:08.803449Z,2017-10-02T11:45:08.803449Z,6,1,120,1959,1,2,2,105,105,,105,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(719165.41 6178114.08 0),5
25,101,2017-10-02T11:45:09.335324Z,2017-10-02T11:45:09.335324Z,6,1,120,1933,1,5,2,136,174,,70,,,,,,,,,,,2,2,1,,90,,K,1,11,0,POINT Z(719309.01 6177939.9 0),5
25,101,2017-10-02T11:45:10.319727Z,2017-10-02T11:45:10.319727Z,6,1,120,1928,1,2,1,93,178,,93,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718632.76 6178689.01 0),5
25,101,2017-10-02T11:45:11.319733Z,2017-10-02T11:45:11.319733Z,6,2,120,2011,90,90,1,210,182,,210,,,,28,,,,,,,1,1,1,,,,K,1,11,0,POINT Z(719015.27 6178198.91 0),5
25,101,2017-10-02T11:45:11.804127Z,2017-10-02T11:45:11.804127Z,6,1,120,1976,1,4,1,165,165,,165,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718803.13 6178231.23 0),5
25,101,2017-10-02T11:45:12.304144Z,2017-10-02T11:45:12.304144Z,6,1,120,1922,1,5,1,154,219,,154,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718682.75 6178924.7 0),5
25,101,2017-10-02T11:45:14.382331Z,2017-10-02T11:45:14.382331Z,6,1,120,1923,1,4,1,66,96,,66,,,,,,,,,,,1,1,1,,2,,K,1,11,0,POINT Z(718946.92 6178960.12 0),5
25,101,2017-10-02T11:45:15.3639Z,2017-10-02T11:45:15.3639Z,6,1,120,1971,1,3,1,127,127,,127,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719296.06 6178601.91 0),5
25,101,2017-10-02T11:45:15.944865Z,2017-10-02T11:45:15.944865Z,6,1,120,1981,1,4,2,137,137,,137,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(718608.07 6179043.12 0),5
25,101,2017-10-02T11:45:18.05429Z,2017-10-02T11:45:18.05429Z,6,1,120,1935,1,3,1,140,140,,140,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718622.07 6178772.55 0),5
25,101,2017-10-02T11:45:21.352958Z,2017-10-02T11:45:21.352958Z,6,1,120,1933,1,3,1,115,115,,115,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719155.07 6178468.97 0),5
25,101,2017-10-02T11:45:23.425821Z,2017-10-02T11:45:23.425821Z,6,1,120,1934,1,5,1,144,144,,72,,,,,,,,,,,1,2,1,,90,,K,1,11,0,POINT Z(719450.97 6178174.4 0),5
25,101,2017-10-02T11:45:24.4312Z,2017-10-02T11:45:24.4312Z,6,1,120,1936,1,5,1,75,127,,75,,,,,,,,,,,1,1,1,,2,,K,1,11,0,POINT Z(719326.95 6178324.65 0),5
25,101,2017-10-02T11:45:24.988381Z,2017-10-02T11:45:24.988381Z,6,1,120,1931,1,90,2,92,147,,92,,,,,,,,,,,2,1,1,,2,,K,1,11,0,POINT Z(719496.24 6178143.22 0),5
25,101,2017-10-02T11:45:26.395527Z,2017-10-02T11:45:26.395527Z,6,1,120,1924,1,5,1,81,131,,81,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719152.06 6178534.37 0),5
25,101,2017-10-02T11:45:31.748893Z,2017-10-02T11:45:31.748893Z,6,1,120,1960,1,3,1,128,104,,128,,,24,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718755.06 6178701.46 0),5
25,101,2017-10-02T11:45:36.87351Z,2017-10-02T11:45:36.87351Z,6,1,120,1924,1,5,2,86,149,,86,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(719055.43 6178664.85 0),5
25,101,2017-10-02T11:45:37.431475Z,2017-10-02T11:45:37.431475Z,6,1,120,1934,1,2,1,124,124,,124,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719371.55 6178272.91 0),5
25,101,2017-10-02T11:45:38.423795Z,2017-10-02T11:45:38.423795Z,6,1,120,1930,4,2,2,138,191,,138,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(718692.4 6178865.45 0),5
25,101,2017-10-02T11:45:41.502799Z,2017-10-02T11:45:41.502799Z,6,1,120,1959,2,4,1,78,78,,78,,,,,,,,,,,1,1,1,,2,,K,1,11,0,POINT Z(718742.27 6178611.78 0),5
25,101,2017-10-02T11:45:42.034051Z,2017-10-02T11:45:42.034051Z,6,1,120,1934,1,3,1,115,115,,115,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719675.59 6178140.99 0),5
25,101,2017-10-02T11:45:42.565319Z,2017-10-02T11:45:42.565319Z,6,1,120,1939,1,3,1,112,112,,112,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719122.67 6178490.54 0),5
25,101,2017-10-02T11:45:45.900521Z,2017-10-02T11:45:45.900521Z,6,1,120,1933,1,5,1,103,157,,103,,,,,,,,,,,2,1,1,,1,,K,1,11,0,POINT Z(719680.23 6178156.51 0),5
25,101,2017-10-02T11:45:49.556891Z,2017-10-02T11:45:49.556891Z,6,1,120,1923,4,5,1,64,100,,64,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718844.12 6179018.87 0),5
25,101,2017-10-02T11:45:50.010931Z,2017-10-02T11:45:50.010931Z,6,1,120,1978,90,90,2,114,193,,114,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(719233.19 6178422.34 0),5
25,101,2017-10-02T11:45:51.192275Z,2017-10-02T11:45:51.192275Z,6,1,120,1936,5,2,1,102,102,,102,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718598.63 6178777.94 0),5
25,101,2017-10-02T11:45:51.775168Z,2017-10-02T11:45:51.775168Z,6,1,120,1933,1,5,1,111,111,,72,,,,,,,,,,,1,2,1,,90,,K,1,11,0,POINT Z(719661.93 6178064.09 0),5
25,101,2017-10-02T11:45:56.317889Z,2017-10-02T11:45:56.317889Z,6,1,120,1942,1,5,1,93,93,,93,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718924.04 6178416.4 0),5
25,101,2017-10-02T11:45:57.349166Z,2017-10-02T11:45:57.349166Z,6,1,120,1952,1,5,1,147,147,,147,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719224.35 6178840.26 0),5
25,101,2017-10-02T11:45:59.837452Z,2017-10-02T11:45:59.837452Z,6,1,120,1939,1,5,1,110,188,,110,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719643.82 6178227.44 0),5
25,101,2017-10-02T11:46:00.38051Z,2017-10-02T11:46:00.38051Z,6,1,120,1952,1,5,1,117,117,,117,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718883.71 6178385.1 0),5
25,101,2017-10-02T11:46:01.358336Z,2017-10-02T11:46:01.358336Z,6,1,120,1934,1,2,2,115,97,,115,,,,18,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(719586.73 6178277.46 0),5
25,101,2017-10-02T11:46:04.028066Z,2017-10-02T11:46:04.028066Z,6,1,120,1934,1,90,1,98,98,,98,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719434.99 6178191.97 0),5
25,101,2017-10-02T11:46:07.150932Z,2017-10-02T11:46:07.150932Z,6,1,120,1936,1,3,1,90,90,,90,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718876.85 6178668.09 0),5
25,101,2017-10-02T11:46:13.604242Z,2017-10-02T11:46:13.604242Z,6,1,120,1923,6,5,1,94,135,,94,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719765.22 6178161.77 0),5
25,101,2017-10-02T11:46:16.333417Z,2017-10-02T11:46:16.333417Z,6,1,120,1935,1,5,1,132,132,,72,,,,,,,,,,,1,2,1,,90,,K,1,11,0,POINT Z(719443.46 6177992.74 0),5
25,101,2017-10-02T11:46:17.81783Z,2017-10-02T11:46:17.81783Z,6,1,120,1956,1,3,1,84,84,,84,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718713.72 6178444.02 0),5
25,101,2017-10-02T11:46:21.045504Z,2017-10-02T11:46:21.045504Z,6,1,120,1934,90,90,1,120,184,,120,,,,,,,,,,,1,1,1,,2,,K,1,11,0,POINT Z(718784.19 6178599.61 0),5
25,101,2017-10-02T11:46:25.722258Z,2017-10-02T11:46:25.722258Z,6,1,120,1932,1,2,1,93,93,,93,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719461.01 6178471.42 0),5
25,101,2017-10-02T11:46:30.328034Z,2017-10-02T11:46:30.328034Z,6,1,120,1923,1,5,1,79,123,,79,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719154.22 6178828.72 0),5
25,101,2017-10-02T11:46:45.52957Z,2017-10-02T11:46:45.52957Z,6,1,120,1969,2,1,1,119,119,,119,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718678.76 6178890.21 0),5
25,101,2017-10-02T11:46:46.069784Z,2017-10-02T11:46:46.069784Z,6,1,120,1937,1,3,1,106,106,,106,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719087.28 6178541.11 0),5
25,101,2017-10-02T11:46:47.080074Z,2017-10-02T11:46:47.080074Z,6,1,120,1933,1,5,1,91,158,,91,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719496.04 6178545.1 0),5
25,101,2017-10-02T11:46:48.150074Z,2017-10-02T11:46:48.150074Z,6,1,120,1979,1,1,2,148,148,,148,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(718669.85 6178566.65 0),5
25,101,2017-10-02T11:46:49.158262Z,2017-10-02T11:46:49.158262Z,6,1,120,1929,1,5,1,65,110,,65,,,,,,,,9,,,1,1,1,,90,,K,1,11,0,POINT Z(718595.47 6178660.03 0),5
25,101,2017-10-02T11:46:50.604394Z,2017-10-02T11:46:50.604394Z,6,1,120,1935,1,2,1,127,158,,127,,,,13,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719692.41 6178177.61 0),5
25,101,2017-10-02T11:46:52.026317Z,2017-10-02T11:46:52.026317Z,6,1,120,1934,1,2,1,71,71,,71,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718804.12 6178698.37 0),5
25,101,2017-10-02T11:46:52.502127Z,2017-10-02T11:46:52.502127Z,6,1,120,1976,1,5,1,142,142,,142,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718852.97 6178047.22 0),5
25,101,2017-10-02T11:46:56.040554Z,2017-10-02T11:46:56.040554Z,6,1,120,1937,1,2,1,108,108,,108,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719305.95 6178447.31 0),5
25,101,2017-10-02T11:47:00.532723Z,2017-10-02T11:47:00.532723Z,6,1,120,1930,1,5,1,187,187,,137,,,,,,,,,,,1,2,1,,90,,K,1,11,0,POINT Z(719755.25 6178042.73 0),5
25,101,2017-10-02T11:47:03.994011Z,2017-10-02T11:47:03.994011Z,6,1,120,1926,1,5,1,98,98,,68,,,,,,,,,,,1,2,1,,90,,K,1,11,0,POINT Z(718658.21 6178865.29 0),5
25,101,2017-10-02T11:47:07.142263Z,2017-10-02T11:47:07.142263Z,6,1,120,1939,1,5,1,90,150,,90,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719386.04 6178055.15 0),5
25,101,2017-10-02T11:47:09.004366Z,2017-10-02T11:47:09.004366Z,6,1,120,1935,1,2,1,155,155,,155,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719402.17 6178431.47 0),5
25,101,2017-10-02T11:47:13.628067Z,2017-10-02T11:47:13.628067Z,6,1,120,1952,1,5,1,188,188,,94,,,,,,,,,,,1,2,1,,90,,K,1,11,0,POINT Z(718914.87 6178553.47 0),5
25,101,2017-10-02T11:47:19.044119Z,2017-10-02T11:47:19.044119Z,6,1,120,1928,1,5,2,87,123,,87,,,,20,,,,,,,2,1,1,,80,,K,1,11,0,POINT Z(718880.95 6178508.07 0),5
25,101,2017-10-02T11:47:19.528515Z,2017-10-02T11:47:19.528515Z,6,1,120,1918,1,5,1,84,124,,84,,,,,,,,,,,1,1,1,,2,,K,1,11,0,POINT Z(719056.52 6178294.34 0),5
25,101,2017-10-02T11:47:20.534522Z,2017-10-02T11:47:20.534522Z,6,1,120,1952,1,5,1,63,107,,63,,,,,,,,28,,,1,1,1,,1,,K,1,11,0,POINT Z(718889.27 6178494.82 0),5
25,101,2017-10-02T11:47:28.278815Z,2017-10-02T11:47:28.278815Z,6,1,120,1974,1,3,1,189,160,,189,,,,29,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(719297.98 6178015 0),5
25,101,2017-10-02T11:47:30.669515Z,2017-10-02T11:47:30.669515Z,6,1,120,1924,1,5,2,60,93,,60,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(717779.01 6179208.13 0),5
25,101,2017-10-02T11:47:33.595414Z,2017-10-02T11:47:33.595414Z,6,1,120,1930,1,3,1,133,133,,133,,,,,,,,,,,1,1,1,,2,,K,1,11,0,POINT Z(718459.72 6179030.41 0),5
25,101,2017-10-02T11:47:34.079805Z,2017-10-02T11:47:34.079805Z,6,1,120,1960,1,3,2,131,131,,131,,,,,,,,,,,2,1,1,,2,,K,1,11,0,POINT Z(718473.1 6179013.05 0),5
25,101,2017-10-02T11:47:36.720521Z,2017-10-02T11:47:36.720521Z,6,1,120,1935,1,90,1,91,91,,91,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(717346.39 6178926.94 0),5
25,101,2017-10-02T11:47:37.264163Z,2017-10-02T11:47:37.264163Z,6,1,120,1961,1,3,1,135,135,,135,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(717320.75 6178716.31 0),5
25,101,2017-10-02T11:47:39.32136Z,2017-10-02T11:47:39.32136Z,6,1,120,1943,1,5,1,75,102,,75,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(718391.04 6178491.82 0),5
25,101,2017-10-02T11:47:40.404893Z,2017-10-02T11:47:40.404893Z,6,1,120,1921,1,5,1,110,157,,110,,,,,,,,,,,1,1,1,,90,,K,1,11,0,POINT Z(717925.15 6178455.39 0),5
25,101,2017-10-02T11:47:41.455064Z,2017-10-02T11:47:41.455064Z,6,1,120,1983,6,4,2,206,206,,206,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(718447.77 6178625.4 0),5
25,101,2017-10-02T11:47:42.93622Z,2017-10-02T11:47:42.93622Z,6,3,120,2003,1,5,2,70,116,,70,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(717973.12 6178537.48 0),5
25,101,2017-10-02T11:47:49.395004Z,2017-10-02T11:47:49.395004Z,6,1,120,1937,1,2,1,89,89,,89,,,,,,,,,,,1,1,1,,2,,K,1,11,0,POINT Z(718169.56 6179146.81 0),5
25,101,2017-10-02T11:47:51.558049Z,2017-10-02T11:47:51.558049Z,6,1,120,1973,5,4,1,119,164,,119,,,,24,,,,,,,1,1,7,1,90,,K,1,11,0,POINT Z(718452.24 6178116.32 0),5
