forretningsproces,kommunekode,registreringFra,virkningFra,status,byg007Bygningsnummer,byg021BygningensAnvendelse,byg026Opførelsesår,byg032YdervæggensMateriale,byg033Tagdækningsmateriale,byg037KildeTilBygningensMaterialer,byg038SamletBygningsareal,byg039BygningensSamledeBoligAreal,byg040BygningensSamledeErhvervsAreal,byg041BebyggetAreal,byg042ArealIndbyggetGarage,byg043ArealIndbyggetCarport,byg044ArealIndbyggetUdhus,byg045ArealIndbyggetUdestueEllerLign,byg046SamletArealAfLukkedeOverdækningerPåBygningen,byg047ArealAfAffaldsrumITerrænniveau,byg048AndetAreal,byg049ArealAfOverdækketAreal,byg050ArealÅbneOverdækningerPåBygningenSamlet,byg051Adgangsareal,byg053BygningsarealerKilde,byg054AntalEtager,byg056Varmeinstallation,byg057Opvarmningsmiddel,byg058SupplerendeVarme,byg069Sikringsrumpladser,byg133KildeTilKoordinatsæt,byg134KvalitetAfKoordinatsæt,byg135SupplerendeOplysningOmKoordinatsæt,byg136PlaceringPåSøterritorie,byg404Koordinat,byg406Koordinatsystem
25,173,2017-08-28T08:31:10.674204Z,2017-08-28T08:31:10.674204Z,6,1,120,2014,1,5,2,119,206,,119,,,,,,,,,,,2,1,5,1,,,K,1,31,0,POINT Z(719616.41 6186658.47 0),5
25,173,2017-08-28T08:31:22.665774Z,2017-08-28T08:31:22.665774Z,6,1,120,1936,1,5,1,79,140,,79,,,,,,,,,,,1,1,2,7,,,K,1,31,0,POINT Z(719587.19 6186769.47 0),5
25,173,2017-08-28T08:31:26.283472Z,2017-08-28T08:31:26.283472Z,6,1,120,1954,5,5,5,117,182,,117,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(719704.59 6187706.95 0),5
25,173,2017-08-28T08:31:38.153592Z,2017-08-28T08:31:38.153592Z,6,1,120,1924,2,3,5,129,129,,129,,,,,,,,10,,,5,1,2,7,,,K,1,31,0,POINT Z(718828 6188006.63 0),5
25,173,2017-08-28T08:31:40.813392Z,2017-08-28T08:31:40.813392Z,6,1,120,1943,1,5,5,142,204,,142,,,,,,,,,,,5,1,2,7,5,,K,1,31,0,POINT Z(719652.79 6187334.16 0),5
25,173,2017-08-28T08:31:46.198826Z,2017-08-28T08:31:46.198826Z,6,1,120,1900,1,5,1,78,78,,78,,,,,,,,,,,1,1,2,7,,,K,1,31,0,POINT Z(719606.79 6186635.93 0),5
25,173,2017-08-28T08:31:51.674416Z,2017-08-28T08:31:51.674416Z,6,1,120,1969,1,5,5,137,185,,137,,,,,,,,10,,,5,1,2,7,5,,K,1,31,0,POINT Z(719387.85 6187690.82 0),5
25,173,2017-08-28T08:31:54.259335Z,2017-08-28T08:31:54.259335Z,6,1,120,1960,1,1,1,177,177,,177,,,,,,,,,,,1,1,2,7,,,K,1,31,0,POINT Z(719405.91 6187718.76 0),5
25,173,2017-08-28T08:31:58.969712Z,2017-08-28T08:31:58.969712Z,6,1,120,1780,1,5,1,118,199,,118,,,,,,,,,,,1,1,2,7,,,K,1,31,0,POINT Z(719295.07 6186630.69 0),5
25,173,2017-08-28T08:32:03.189908Z,2017-08-28T08:32:03.189908Z,6,1,120,1982,1,4,2,158,158,,158,,,,,,,,,,,2,1,2,7,,,K,1,31,0,POINT Z(719491.35 6187757.14 0),5
25,173,2017-08-28T08:32:06.095Z,2017-08-28T08:32:06.095Z,6,1,120,1902,1,3,1,99,150,,99,,,,,,,,,,,1,1,2,7,2,,K,1,31,0,POINT Z(719576.69 6187217.84 0),5
25,173,2017-08-28T08:32:10.199753Z,2017-08-28T08:32:10.199753Z,6,1,120,1959,1,3,1,145,145,,145,,,,,,,,,,,1,1,2,7,,,K,1,31,0,POINT Z(719637.89 6186758.09 0),5
25,173,2017-08-28T08:32:12.72524Z,2017-08-28T08:32:12.72524Z,6,1,120,1933,1,3,5,115,119,,115,,,,,,,,9,,,5,1,2,7,2,,K,1,31,0,POINT Z(719623.38 6187342.87 0),5
25,173,2017-08-28T08:32:15.888937Z,2017-08-28T08:32:15.888937Z,6,1,120,1940,1,2,5,120,126,,120,,,,,,,,27,,,5,1,2,7,2,,K,1,31,0,POINT Z(719709.82 6187621.81 0),5
25,173,2017-08-28T08:32:18.741607Z,2017-08-28T08:32:18.741607Z,6,1,120,1972,1,3,2,183,165,,183,,,,18,,,,,,,2,1,2,7,,,K,1,31,0,POINT Z(718685.98 6188096.09 0),5
25,173,2017-08-28T08:32:23.740402Z,2017-08-28T08:32:23.740402Z,6,1,120,1979,5,4,2,113,175,,113,,,,,,,,,,,2,1,2,7,90,,K,1,31,0,POINT Z(719598.72 6187781.72 0),5
25,173,2017-08-28T08:32:26.422944Z,2017-08-28T08:32:26.422944Z,6,1,120,1935,1,5,5,96,130,,96,,,,16,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(718705.72 6187984.44 0),5
25,173,2017-08-28T08:32:36.985884Z,2017-08-28T08:32:36.985884Z,6,1,120,1920,1,5,5,130,225,,130,,,,3,,,,,,,2,1,2,7,,,K,1,31,0,POINT Z(719584.9 6186695.87 0),5
25,173,2017-08-28T08:32:45.970608Z,2017-08-28T08:32:45.970608Z,6,1,120,1935,1,5,5,229,231,,119,,,,,,,,,,,5,2,2,7,,,K,1,31,0,POINT Z(719617.55 6187305.06 0),5
25,173,2017-08-28T08:32:47.455045Z,2017-08-28T08:32:47.455045Z,6,1,120,1951,1,5,2,107,107,,107,,,,,,,,18,,,2,1,2,7,,,K,1,31,0,POINT Z(718753.1 6188205.29 0),5
25,173,2017-08-28T08:32:49.498911Z,2017-08-28T08:32:49.498911Z,6,3,120,1890,4,7,5,71,71,,71,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(719877.15 6186866.96 0),5
25,173,2017-08-28T08:32:51.908023Z,2017-08-28T08:32:51.908023Z,6,1,120,1938,1,3,5,114,157,,114,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(719738.92 6187207.22 0),5
